구별,cctv댓수,2012년 이전,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,최근증가율,기간,세대,인구수,남자,여자,내국인,남자.1,여자.1,외국인,남자.2,여자.2,세대당인구,고령자,외국인비율,고령자비율
종로구,1715,815,0,0,195,150,0,261,85,9,200,0,0.20689655172413793,2021,73494,153789,74186,79603,144683,70183,74500,9106,4003,5103,1,27818,16.88875466725236,5.528398878424042
중구,2447,16,114,87,77,236,240,372,386,155,361,403,0.7898423817863398,2021,63519,131787,64083,67704,122499,59630,62869,9288,4453,4835,1,24392,14.188953488372093,5.40287799278452
용산구,2611,34,71,234,125,221,298,351,125,307,617,228,0.7863568215892054,2021,111036,237285,115085,122200,222953,107210,115743,14332,7875,6457,2,39070,16.55630756349428,6.073329920655234
성동구,3829,163,144,208,107,325,255,967,415,490,472,283,0.6348547717842323,2021,134233,292672,142259,150413,285990,139380,146610,6682,2879,3803,2,46380,43.80005986231667,6.310306166451056
광진구,3211,35,57,100,187,98,52,675,465,712,175,655,1.1229235880398671,2021,167949,352627,169317,183310,339996,164058,175938,12631,5259,7372,2,51723,27.917583722587285,6.8176053206503875
동대문구,2628,4,0,14,16,115,804,814,201,218,223,219,0.3633276740237691,2021,168219,352006,172162,179844,337400,166646,170754,14606,5516,9090,2,62211,24.10009585102013,5.658259793284146
중랑구,3737,346,21,253,72,132,155,153,174,1049,934,448,1.9054770318021201,2021,185712,391885,192903,198982,387350,191112,196238,4535,1791,2744,2,71682,86.41345093715546,5.466993108451215
성북구,4602,81,78,170,229,322,594,890,867,714,253,404,0.7758037225042301,2021,195017,440142,211150,228992,430528,207578,222950,9614,3572,6042,2,74709,45.781360515914294,5.891418704573746
강북구,3090,8,0,22,61,124,251,29,391,1078,656,470,4.292929292929293,2021,144536,302563,146984,155579,299182,145705,153477,3381,1279,2102,2,64333,89.48920437740314,4.703076181741874
도봉구,1930,128,22,2,145,172,123,129,222,210,184,593,0.8543689320388349,2021,138656,319373,155221,164152,317366,154487,162879,2007,734,1273,2,64160,159.12954658694568,4.977758728179551
노원구,2492,0,87,164,77,514,331,175,216,320,387,221,0.6847181008902077,2021,217378,514946,247813,267133,510956,246053,264903,3990,1760,2230,2,88345,129.05914786967418,5.828807515988454
은평구,4131,14,3,44,332,329,555,403,635,1057,288,471,1.1785714285714286,2021,214711,477173,228024,249149,473307,226458,246849,3866,1566,2300,2,87241,123.42809105018107,5.469595717609839
서대문구,3055,730,253,155,108,137,223,356,237,343,397,116,0.4979612640163099,2021,143647,315659,149507,166152,304819,145694,159125,10840,3813,7027,2,54268,29.119833948339483,5.816669123608756
마포구,2496,23,19,40,112,185,478,365,373,494,299,108,0.9541734860883797,2021,179861,378686,177233,201453,368905,173504,195401,9781,3729,6052,2,54582,38.716491156323485,6.9379282547359935
양천구,3650,71,174,158,134,246,424,577,837,312,346,371,0.8380044843049327,2021,181404,450487,220537,229950,447302,219214,228088,3185,1323,1862,2,68627,141.44018838304552,6.564282279569266
강서구,2744,54,122,104,202,199,168,506,259,457,356,317,0.7911439114391144,2021,271175,579768,278720,301048,574315,276292,298023,5453,2428,3025,2,92558,106.3209242618742,6.263834568594827
구로구,4608,852,216,349,187,268,326,540,488,434,415,533,0.48831263696128563,2021,180929,421163,208873,212290,396754,195537,201217,24409,13336,11073,2,72611,17.254414355360726,5.800264422745865
금천구,2411,0,0,174,80,361,133,196,539,367,513,48,1.5031779661016949,2021,117595,244891,124110,120781,230811,116527,114284,14080,7583,6497,1,41041,17.392826704545456,5.966984235276918
영등포구,4056,572,136,238,123,209,248,311,658,65,1213,283,1.0538922155688624,2021,187020,400908,198740,202168,376837,185926,190911,24071,12814,11257,2,62516,16.655228282996138,6.412886301106917
동작구,2306,41,24,25,503,128,253,271,300,322,419,20,0.8361445783132531,2021,184812,394364,190241,204123,385483,186426,199057,8881,3815,5066,2,66613,44.405359756784144,5.920225781754312
관악구,5149,440,84,431,439,609,622,688,674,595,331,236,0.48294597041955933,2021,276597,499449,250058,249391,485699,243991,241708,13750,6067,7683,1,79871,36.32356363636364,6.253195778192335
서초구,4082,8,73,79,70,562,504,1041,417,339,433,556,0.5087719298245614,2021,170244,416167,198914,217253,412279,197034,215245,3888,1880,2008,2,60678,107.03883744855968,6.858614324796466
강남구,6871,69,67,66,580,830,1293,988,745,791,926,516,0.6324171590033393,2021,234233,537800,257280,280520,533042,255047,277995,4758,2233,2525,2,78226,113.03068516183271,6.874952061974279
송파구,2897,40,59,90,85,214,176,241,541,1073,235,143,2.043093922651934,2021,282417,663965,319895,344070,658338,317346,340992,5627,2549,3078,2,97691,117.99626799360227,6.796583103868319
강동구,2809,268,27,227,49,154,202,273,377,356,614,262,1.1225,2021,201613,466472,228682,237790,462664,227002,235662,3808,1680,2128,2,74070,122.49789915966386,6.297718374510598
